sample-id	input	filtered	percentage of input passed filter	denoised	merged	percentage of input merged	non-chimeric	percentage of input non-chimeric
#q2:types	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
3CNS1KB1_S38	140639	54631	38.84	53714	33338	23.7	31998	22.75
3CNS1KB2_S39	104482	41967	40.17	41324	29751	28.47	28951	27.71
3CNS2KB1_S40	237671	90063	37.89	89246	56300	23.69	53800	22.64
3CNS2KB2_S41	535360	228169	42.62	227316	137612	25.7	131200	24.51
3CNSKB1_S33	229924	68727	29.89	68131	24660	10.73	24378	10.6
3CNSKB2_S34	267708	98200	36.68	97578	56883	21.25	56467	21.09
3CNSKB3_S35	261770	95445	36.46	94760	49741	19	49421	18.88
3CNSKB4_S36	1227968	208194	16.95	207905	125820	10.25	125148	10.19
3CNSKB5_S37	175971	57614	32.74	56838	31295	17.78	30804	17.51
3CWWRDH_S42	225154	86236	38.3	85298	52864	23.48	51832	23.02
A3C130DH_S17	325101	86086	26.48	85660	47134	14.5	46448	14.29
A3C130FAE_S18	607423	259919	42.79	251437	97611	16.07	81137	13.36
A3C130FAI_S21	581322	239740	41.24	234392	97347	16.75	86567	14.89
A3C130IDH_S20	206893	54124	26.16	53953	30124	14.56	29687	14.35
A3C130KB_S19	264287	75559	28.59	75247	52432	19.84	51110	19.34
A3C130SOFA_S23	148851	66300	44.54	64502	12359	8.3	11224	7.54
A3C130TAP_S24	614132	325661	53.03	324261	302037	49.18	209688	34.14
A3C130WP_S22	210805	45911	21.78	45679	19601	9.3	19388	9.2
A3C134DH_S25	226110	86767	38.37	86106	62571	27.67	59671	26.39
A3C134FAE_S26	331231	132094	39.88	126705	53309	16.09	48840	14.74
A3C134FAI_S29	479075	198178	41.37	190142	83263	17.38	70976	14.82
A3C134IDH_S28	230066	52023	22.61	51704	20253	8.8	19858	8.63
A3C134KB_S27	244148	83926	34.38	82655	46995	19.25	44475	18.22
A3C134SOFA_S31	164162	58340	35.54	57395	28748	17.51	28292	17.23
A3C134TAP_S32	346079	166266	48.04	165748	158763	45.87	102588	29.64
A3C134WP_S30	189886	52795	27.8	52296	19142	10.08	19053	10.03
B3C108DH_S1	139043	49607	35.68	49404	34625	24.9	34450	24.78
B3C108FAE_S2	311513	127918	41.06	125173	69095	22.18	66850	21.46
B3C108FAI_S5	281420	127543	45.32	126981	52001	18.48	51359	18.25
B3C108IDH_S4	3697	496	13.42	445	305	8.25	305	8.25
B3C108KB_S3	510340	55747	10.92	55649	34455	6.75	34407	6.74
B3C108SOFA_S7	297591	80886	27.18	80276	27461	9.23	26686	8.97
B3C108TAP_S8	2418178	1291749	53.42	1289835	1269239	52.49	915359	37.85
B3C108WP_S6	235918	53553	22.7	53390	39391	16.7	39151	16.6
B3C110DH_S9	576818	193801	33.6	192957	148143	25.68	141420	24.52
B3C110FAE_S10	566213	256445	45.29	254284	159028	28.09	151768	26.8
B3C110FAI_S13	229484	23782	10.36	23539	12672	5.52	12265	5.34
B3C110IDH_S12	356829	2688	0.75	2617	1914	0.54	1880	0.53
B3C110KB_S11	285659	77887	27.27	77667	46267	16.2	46009	16.11
B3C110SOFA_S15	277273	66256	23.9	65632	40798	14.71	39978	14.42
B3C110TAP_S16	2018905	1143674	56.65	1141864	1107735	54.87	610194	30.22
B3C110WP_S14	394615	167444	42.43	165641	98530	24.97	88084	22.32
IC1_S1	173812	10620	6.11	10220	5662	3.26	5548	3.19
IC10_S10	160083	17868	11.16	17342	13974	8.73	9250	5.78
IC11_S11	119420	12580	10.53	12303	7353	6.16	7273	6.09
IC12_S12	129333	14555	11.25	14005	7958	6.15	7814	6.04
IC13_S13	138113	12411	8.99	12065	7953	5.76	7931	5.74
IC14_S14	102659	8752	8.53	8273	4349	4.24	4320	4.21
IC15_S15	91181	8272	9.07	7839	5241	5.75	5154	5.65
IC16_S16	115745	14268	12.33	13999	11443	9.89	11160	9.64
IC17_S17	123849	13700	11.06	13287	6747	5.45	6575	5.31
IC18_S18	104249	11240	10.78	10873	7635	7.32	7517	7.21
IC19_S19	243139	7449	3.06	7127	4311	1.77	4290	1.76
IC2_S2	124944	12224	9.78	11580	5060	4.05	4992	4
IC20_S20	103187	9412	9.12	8948	5980	5.8	5956	5.77
IC21_S21	114383	12200	10.67	11663	5348	4.68	5264	4.6
IC22_S22	156976	17947	11.43	17158	7367	4.69	7093	4.52
IC23_S23	83784	7734	9.23	7488	6444	7.69	6422	7.66
IC24_S24	134293	15191	11.31	14743	10498	7.82	10397	7.74
IC25_S25	119480	13329	11.16	13135	7061	5.91	6905	5.78
IC26_S26	114328	12019	10.51	11572	5902	5.16	5827	5.1
IC27_S27	135179	14147	10.47	12907	3558	2.63	3408	2.52
IC28_S28	90912	9059	9.96	8543	5486	6.03	5100	5.61
IC29_S29	114821	12195	10.62	12044	8364	7.28	8338	7.26
IC3_S3	115753	11403	9.85	10827	7320	6.32	7243	6.26
IC30_S30	120924	12168	10.06	11360	6246	5.17	6082	5.03
IC31_S31	110073	10922	9.92	10012	3954	3.59	3825	3.47
IC32_S32	99729	6911	6.93	6335	2616	2.62	2603	2.61
IC33_S33	111380	11763	10.56	11602	2289	2.06	2276	2.04
IC34_S34	105706	12215	11.56	11650	7165	6.78	7118	6.73
IC35_S35	113691	12324	10.84	11829	4919	4.33	4838	4.26
IC36_S36	107106	10193	9.52	9853	4746	4.43	4704	4.39
IC37_S37	113629	10946	9.63	10275	4221	3.71	4180	3.68
IC38_S38	88634	10276	11.59	10143	3455	3.9	3408	3.85
IC39_S39	108492	11155	10.28	10728	6272	5.78	6252	5.76
IC4_S4	68979	7470	10.83	7174	4964	7.2	4948	7.17
IC40_S40	130507	13232	10.14	12888	8591	6.58	8246	6.32
IC41_S41	149595	15981	10.68	15308	9502	6.35	8803	5.88
IC42_S42	108834	12252	11.26	11672	1955	1.8	1918	1.76
IC43_S43	101463	15377	15.16	15317	15290	15.07	14377	14.17
IC44_S44	112557	9843	8.74	9546	6701	5.95	6681	5.94
IC45_S45	259822	28116	10.82	27320	15922	6.13	15501	5.97
IC46_S46	116911	12940	11.07	12353	7407	6.34	7150	6.12
IC47_S47	137425	14601	10.62	14227	8580	6.24	8481	6.17
IC48_S48	127208	13321	10.47	12567	7029	5.53	6783	5.33
IC49_S49	111021	13244	11.93	12859	9546	8.6	9476	8.54
IC5_S5	122294	13551	11.08	12964	6562	5.37	6429	5.26
IC50_S50	136902	19836	14.49	19622	19447	14.21	19415	14.18
IC51_S51	107023	12090	11.3	11581	6914	6.46	6608	6.17
IC52_S52	117983	11070	9.38	10802	7025	5.95	6986	5.92
IC53_S53	135823	14479	10.66	13789	7141	5.26	7002	5.16
IC54_S54	86596	7168	8.28	6746	4498	5.19	4482	5.18
IC55_S55	108397	14538	13.41	14419	14307	13.2	14270	13.16
IC56_S56	99896	10825	10.84	10431	4421	4.43	4050	4.05
IC57_S57	135220	17941	13.27	17789	178	0.13	162	0.12
IC58_S58	145182	16626	11.45	15457	6119	4.21	5907	4.07
IC59_S59	132968	13290	9.99	13210	12816	9.64	12571	9.45
IC6_S6	139051	8742	6.29	8588	4489	3.23	4435	3.19
IC60_S60	132402	13339	10.07	12728	9369	7.08	8423	6.36
IC7_S7	249768	9275	3.71	8684	4413	1.77	4266	1.71
IC8_S8	136296	13332	9.78	12718	7727	5.67	7464	5.48
IC9_S9	186392	20581	11.04	19327	9334	5.01	8966	4.81
KIT1_S65	72991	15870	21.74	14820	8218	11.26	7746	10.61
KIT10_S74	428367	151998	35.48	149623	98772	23.06	92089	21.5
KIT11_S75	122471	39753	32.46	37854	20949	17.11	19894	16.24
KIT12_S76	155396	49876	32.1	47890	28035	18.04	26312	16.93
KIT13_S77	638789	318396	49.84	315029	259149	40.57	244873	38.33
KIT14_S78	151598	78300	51.65	77282	6747	4.45	4829	3.19
KIT15_S79	144237	55109	38.21	53213	34185	23.7	31148	21.6
KIT16_S80	152005	61057	40.17	58911	29913	19.68	27853	18.32
KIT17_S81	128115	50267	39.24	48260	25985	20.28	24640	19.23
KIT18_S82	127104	70871	55.76	70502	51386	40.43	46193	36.34
KIT19_S83	121863	45289	37.16	43452	27348	22.44	26163	21.47
KIT2_S66	121315	44498	36.68	42355	23945	19.74	22452	18.51
KIT20_S84	168932	61952	36.67	59821	39913	23.63	36846	21.81
KIT21_S85	96093	40113	41.74	39159	4331	4.51	3558	3.7
KIT22_S86	370322	186553	50.38	185450	171452	46.3	167953	45.35
KIT23_S87	33781	13735	40.66	12837	7987	23.64	7666	22.69
KIT24_S88	122029	32821	26.9	31286	16477	13.5	15754	12.91
KIT25_S89	91378	32950	36.06	31380	17790	19.47	16903	18.5
KIT26_S90	92353	34564	37.43	32954	22358	24.21	20744	22.46
KIT27_S91	13233	342	2.58	259	192	1.45	183	1.38
KIT28_S92	114650	41865	36.52	40025	22421	19.56	21315	18.59
KIT29_S93	93245	36074	38.69	34540	13926	14.93	13197	14.15
KIT3_S67	937152	490915	52.38	488018	295465	31.53	229550	24.49
KIT30_S94	87126	28033	32.18	26630	14980	17.19	14262	16.37
KIT31_S95	119967	42532	35.45	40816	23600	19.67	22345	18.63
KIT4_S68	133919	59276	44.26	58579	56811	42.42	51670	38.58
KIT5_S69	798265	437760	54.84	436712	377427	47.28	218799	27.41
KIT6_S70	104668	32619	31.16	31056	17522	16.74	16614	15.87
KIT7_S71	113132	42594	37.65	40664	24425	21.59	23299	20.59
KIT8_S72	655126	278376	42.49	277183	127341	19.44	104962	16.02
KIT9_S73	128875	52691	40.89	51697	43883	34.05	42728	33.15
Neg_S43	311649	161	0.05	128	115	0.04	115	0.04
NEG3_S96	27086	9090	33.56	8377	4710	17.39	4471	16.51
PAT1_S25	81580	24963	30.6	23490	12712	15.58	12021	14.74
PAT10_S34	776383	314894	40.56	310064	41631	5.36	30371	3.91
PAT11_S35	100287	37613	37.51	35811	20097	20.04	19070	19.02
PAT12_S36	98886	32659	33.03	31134	17529	17.73	16742	16.93
PAT13_S37	124684	34849	27.95	33214	19159	15.37	18375	14.74
PAT14_S38	116946	36525	31.23	34789	19693	16.84	18842	16.11
PAT15_S39	130713	52458	40.13	50124	27651	21.15	26294	20.12
PAT16_S40	106838	42284	39.58	40279	22119	20.7	20990	19.65
PAT17_S41	114613	44832	39.12	42898	25186	21.97	23966	20.91
PAT18_S42	137462	46912	34.13	44871	26109	18.99	25177	18.32
PAT19_S43	78179	26292	33.63	24818	13741	17.58	13050	16.69
PAT2_S26	99720	35895	36	34267	19765	19.82	18905	18.96
PAT20_S44	113202	34616	30.58	33025	16682	14.74	15923	14.07
PAT21_S45	422087	157610	37.34	154225	79932	18.94	74734	17.71
PAT22_S46	70795	22653	32	21448	11877	16.78	11291	15.95
PAT23_S47	100274	33655	33.56	32091	18080	18.03	17090	17.04
PAT24_S48	72605	17781	24.49	16626	9020	12.42	8486	11.69
PAT25_S49	79478	23561	29.64	22077	11850	14.91	11167	14.05
PAT26_S50	107203	29330	27.36	27812	15701	14.65	14988	13.98
PAT27_S51	385171	150682	39.12	146955	87401	22.69	80952	21.02
PAT28_S52	398140	107432	26.98	104457	60616	15.22	56373	14.16
PAT29_S53	115034	44536	38.72	42680	22349	19.43	21075	18.32
PAT3_S27	97787	35413	36.21	33735	18533	18.95	17681	18.08
